#{"t_start": 1730541411.1325488, "env_id": "None"}
r,l,t
-9319.0,18288,2393.879805
-12335.0,23414,2402.765519
-6332.0,12890,2407.556388
-10551.0,20806,2419.382903
-10172.0,17958,2426.744962
-9830.0,18952,2434.248088
-6112.0,12314,2439.374414
-4394.0,9052,2443.272038
-5084.0,9942,2450.895734
-7951.0,15938,2456.979945
-6513.0,12518,2461.830683
-11743.0,22629,2470.141487
-7111.0,14486,2475.689449
-7844.0,12985,2485.778671
-9017.0,17846,2492.885835
-3963.0,8102,2496.071723
-5938.0,12058,2500.927076
-5358.0,10936,2505.467594
-6961.0,14085,2514.326684
-10368.0,18663,2520.945682
-9490.0,18681,2528.275456
-4519.0,9170,2531.832968
-6302.0,11371,2536.289528
-7156.0,13525,2545.298669
-4221.0,8301,2548.505718
-1640.0,3478,2549.7008
-7425.0,14658,2555.040199
-6159.0,12183,2560.068509
-9937.0,19169,2571.417624
-2397.0,4679,2572.983549
-2708.0,5364,2574.968189
-5946.0,10070,2578.443711
-3905.0,8030,2581.261324
-3761.0,7720,2588.669492
-7286.0,14836,2594.605541
-7399.0,15018,2601.523587
-13780.0,27653,2612.365421
-8363.0,16858,2618.063548
-9660.0,19052,2627.590123
-2759.0,5738,2629.67898
-13529.0,26876,2639.109378
-10788.0,21324,2646.767305
-6505.0,13274,2652.336836
-9854.0,19298,2663.488152
-9703.0,19173,2671.393719
-7926.0,16040,2677.13734
-5708.0,11411,2682.305163
-10061.0,18543,2689.723798
-8691.0,15610,2698.717593
-3957.0,7409,2701.900638
-8177.0,15855,2707.813197
-6435.0,13134,2712.695832
-6422.0,11940,2716.746737
-3771.0,7762,2722.398813
-11790.0,22970,2732.617133
-14598.0,26629,2744.028202
-6696.0,12393,2749.947483
-5727.0,11408,2754.884567
-6832.0,13548,2764.234656
-6514.0,12833,2768.833616
-6220.0,12704,2773.546456
-8621.0,17278,2780.724676
-7267.0,13978,2786.33142
-9256.0,18776,2797.452909
-5004.0,10228,2801.736325
-8024.0,15685,2808.066444
-7657.0,15578,2813.311136
-5266.0,10730,2817.790472
