player_id,name,is_human,description,strategy,difficulty,registration_date,nb_train_steps
1108,rusher_2j_4c_conf_17_50000_steps.zip,False,,rusher,,2025-01-18 01:39:38.097872+01:00,50000
1109,spawner_2j_4c_conf_17_100000_steps.zip,False,,spawner,,2025-01-18 01:39:58.331159+01:00,100000
1110,spawner_2j_4c_conf_17_200000_steps.zip,False,,spawner,,2025-01-18 01:40:17.587789+01:00,200000
1111,spawner_2j_4c_conf_17_400000_steps.zip,False,,spawner,,2025-01-18 01:40:35.768442+01:00,400000
1112,spawner_2j_4c_conf_17_50000_steps.zip,False,,spawner,,2025-01-18 01:40:55.494187+01:00,50000
1113,suboptimal_2j_4c_conf_17_100000_steps.zip,False,,suboptimal,,2025-01-18 01:41:15.684875+01:00,100000
1114,suboptimal_2j_4c_conf_17_200000_steps.zip,False,,suboptimal,,2025-01-18 01:41:34.180967+01:00,200000
1115,suboptimal_2j_4c_conf_17_400000_steps.zip,False,,suboptimal,,2025-01-18 01:41:57.116661+01:00,400000
1116,suboptimal_2j_4c_conf_17_50000_steps.zip,False,,suboptimal,,2025-01-18 01:42:16.712688+01:00,50000
1117,aggressive_2j_4c_conf_12_100000_steps.zip,False,,aggressive,,2025-01-18 01:42:56.867549+01:00,100000
1118,aggressive_2j_4c_conf_12_200000_steps.zip,False,,aggressive,,2025-01-18 01:43:28.404608+01:00,200000
1119,aggressive_2j_4c_conf_12_400000_steps.zip,False,,aggressive,,2025-01-18 01:43:38.729754+01:00,400000
1120,aggressive_2j_4c_conf_12_50000_steps.zip,False,,aggressive,,2025-01-18 01:43:48.848018+01:00,50000
1121,balanced_2j_4c_conf_12_100000_steps.zip,False,,balanced,,2025-01-18 01:44:03.857170+01:00,100000
1122,balanced_2j_4c_conf_12_200000_steps.zip,False,,balanced,,2025-01-18 01:44:28.998659+01:00,200000
1123,balanced_2j_4c_conf_12_400000_steps.zip,False,,balanced,,2025-01-18 01:44:40.065107+01:00,400000
1124,balanced_2j_4c_conf_12_50000_steps.zip,False,,balanced,,2025-01-18 01:44:50.766680+01:00,50000
1125,defensive_2j_4c_conf_12_100000_steps.zip,False,,defensive,,2025-01-18 01:45:17.449853+01:00,100000
1126,defensive_2j_4c_conf_12_200000_steps.zip,False,,defensive,,2025-01-18 01:45:28.716325+01:00,200000
1127,defensive_2j_4c_conf_12_400000_steps.zip,False,,defensive,,2025-01-18 01:45:44.770409+01:00,400000
1128,defensive_2j_4c_conf_12_50000_steps.zip,False,,defensive,,2025-01-18 01:45:54.854635+01:00,50000
1129,rusher_2j_4c_conf_12_100000_steps.zip,False,,rusher,,2025-01-18 01:46:05.715328+01:00,100000
