stat_id,nb_no_action_d,nb_move_out_d,nb_move_out_and_kill_d,nb_move_forward_d,nb_get_stuck_behind_d,nb_enter_safezone_d,nb_move_in_safe_zone_d,nb_reach_goal_d,nb_kill_d,nb_reach_pied_escalier_d,nb_avance_recule_pied_escalier_d,nb_marche_1_d,nb_marche_2_d,nb_marche_3_d,nb_marche_4_d,nb_marche_5_d,nb_marche_6_d,nb_no_action_e,nb_move_out_e,nb_move_out_and_kill_e,nb_move_forward_e,nb_get_stuck_behind_e,nb_enter_safezone_e,nb_move_in_safe_zone_e,nb_reach_goal_e,nb_kill_e,nb_reach_pied_escalier_e,nb_avance_recule_pied_escalier_e,nb_marche_1_e,nb_marche_2_e,nb_marche_3_e,nb_marche_4_e,nb_marche_5_e,nb_marche_6_e
23322,1,1,0,14,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,14,0,1,0,1,0,0,0,0,0,0,0,0,0
23323,21,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23324,2,1,0,18,0,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,17,0,1,1,1,0,0,0,0,0,0,0,0,0
23325,2,1,0,20,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,19,0,1,0,1,0,0,0,0,0,0,0,0,0
23326,3,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0
23327,3,1,0,15,0,1,0,1,0,0,0,0,0,0,0,0,0,3,1,0,15,0,1,1,0,0,0,0,0,0,0,0,0,0
23328,2,1,0,17,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,16,0,1,0,1,0,0,0,0,0,0,0,0,0
23329,0,1,0,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,15,0,1,1,1,0,0,0,0,0,0,0,0,0
23330,7,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
23331,1,1,0,14,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,11,0,1,3,1,0,0,0,0,0,0,0,0,0
23332,2,1,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0
23333,0,1,0,13,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,13,0,1,0,1,0,0,0,0,0,0,0,0,0
23334,1,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
23335,9,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
23336,6,1,0,15,0,1,0,1,0,0,0,0,0,0,0,0,0,6,1,0,15,0,1,0,1,0,0,0,0,0,0,0,0,0
23337,2,1,0,14,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,13,0,1,0,1,0,0,0,0,0,0,0,0,0
23338,12,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
23339,2,1,0,18,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,17,0,1,1,1,0,0,0,0,0,0,0,0,0
23340,1,1,0,18,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,17,0,1,2,0,0,0,0,0,0,0,0,0,0
23341,0,1,0,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,16,0,1,0,1,0,0,0,0,0,0,0,0,0
23342,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23343,12,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0
23344,2,1,0,18,0,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,16,0,1,1,1,1,0,0,0,0,0,0,0,0
23345,10,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
23346,6,1,0,13,0,1,0,1,0,0,0,0,0,0,0,0,0,6,1,0,13,0,1,0,1,0,0,0,0,0,0,0,0,0
23347,3,1,0,16,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,14,0,1,1,1,0,0,0,0,0,0,0,0,0
23348,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23349,1,1,0,16,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,15,0,1,1,1,0,0,0,0,0,0,0,0,0
23350,0,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,0,1,0,0,0,0,0,0,0,0,0,0,0
23351,6,1,0,17,0,1,0,1,0,0,0,0,0,0,0,0,0,6,1,0,17,0,1,0,1,0,0,0,0,0,0,0,0,0
23352,8,1,0,14,0,1,0,1,0,0,0,0,0,0,0,0,0,8,1,0,13,0,1,2,0,0,0,0,0,0,0,0,0,0
23353,3,1,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,11,0,1,0,1,0,0,0,0,0,0,0,0,0
23354,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23355,0,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
23356,1,1,0,15,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,14,0,1,0,1,0,0,0,0,0,0,0,0,0
23357,0,1,0,14,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,13,0,1,0,1,0,0,0,0,0,0,0,0,0
23358,4,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0
23359,0,1,0,15,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,15,0,1,0,1,0,0,0,0,0,0,0,0,0
23360,4,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
23361,0,1,0,16,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,14,1,1,0,1,0,0,0,0,0,0,0,0,0
23362,6,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0
23363,1,1,0,13,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,13,0,1,0,1,0,0,0,0,0,0,0,0,0
23364,1,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
23365,10,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
23366,1,1,0,13,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,12,0,1,0,1,0,0,0,0,0,0,0,0,0
23367,4,1,0,26,0,1,0,2,0,0,0,0,0,0,0,0,0,4,2,0,26,0,1,0,1,0,0,0,0,0,0,0,0,0
23368,16,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0
23369,1,1,0,16,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,16,0,1,0,1,0,0,0,0,0,0,0,0,0
23370,0,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
23371,4,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
23372,2,1,0,15,0,1,0,2,0,0,0,0,0,0,0,0,0,2,1,0,15,0,1,1,1,0,0,0,0,0,0,0,0,0
23373,0,1,0,14,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,14,0,1,0,1,0,0,0,0,0,0,0,0,0
23374,5,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
23375,7,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
23376,3,1,0,14,0,1,0,1,0,0,0,0,0,0,0,0,0,3,1,0,14,0,1,0,1,0,0,0,0,0,0,0,0,0
23377,14,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
23378,1,1,0,17,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,15,0,1,1,1,0,0,0,0,0,0,0,0,0
23379,1,1,0,16,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0
23380,0,1,0,16,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,16,0,1,0,1,0,0,0,0,0,0,0,0,0
23381,3,1,0,15,0,1,0,1,0,0,0,0,0,0,0,0,0,3,1,0,15,0,1,0,1,0,0,0,0,0,0,0,0,0
23382,0,1,0,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,17,0,1,0,0,0,0,0,0,0,0,0,0,0
23383,3,1,0,17,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,15,0,1,1,1,0,0,0,0,0,0,0,0,0
23384,4,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
23385,8,1,0,13,0,1,0,1,0,0,0,0,0,0,0,0,0,8,1,0,13,0,1,1,0,0,0,0,0,0,0,0,0,0
23386,5,1,0,16,0,1,0,1,0,0,0,0,0,0,0,0,0,5,1,0,16,0,1,0,1,0,0,0,0,0,0,0,0,0
23387,3,1,0,15,0,0,0,2,0,0,0,0,0,0,0,0,0,3,1,0,14,0,1,1,1,0,0,0,0,0,0,0,0,0
23388,3,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
23389,2,1,0,16,0,0,0,3,0,0,0,0,0,0,0,0,0,2,1,0,14,0,1,2,1,1,0,0,0,0,0,0,0,0
23390,10,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
23391,17,2,0,14,0,0,0,1,0,0,0,0,0,0,0,0,0,17,1,1,12,0,1,1,1,0,0,0,0,0,0,0,0,0
