Wall time,Step,Value
1730484214.5261521,4096,163.7681884765625
1730484262.9036794,5000,300.79669189453125
1730484270.2577403,8192,218.6339569091797
1730484312.4975073,10000,224.33314514160156
1730484315.623576,12288,268.85400390625
1730484318.6345685,14336,162.21470642089844
1730484341.4680572,15000,52.33329391479492
1730484345.5876126,18432,74.34874725341797
1730484374.2594533,20000,152.28759765625
1730484384.0180767,22528,30.354116439819336
1730484392.6630588,24576,64.8339614868164
1730484445.921729,25000,63.471492767333984
1730484457.9547646,28672,61.17880630493164
1730484496.3848646,30000,41.98308181762695
1730484499.704229,32768,69.2982406616211
1730484502.5854168,34816,13.610322952270508
1730484543.555862,35000,17.81310272216797
1730484555.6740339,38912,2.005110263824463
1730484653.6498675,40000,5.850425720214844
1730484664.6791072,43008,5.126034736633301
1730484728.3498838,45000,10.562896728515625
1730484736.992242,47104,9.700800895690918
1730484745.5014963,49152,4.580505847930908
1730484793.132537,50000,2.9082655906677246
1730484796.745457,53248,2.7051074504852295
1730484830.8588662,55000,61.23560333251953
1730484834.610282,57344,4.357604026794434
1730484837.317267,59392,3.2763822078704834
1730484903.9039302,60000,2.779564619064331
1730484907.6817944,63488,1.1153868436813354
1730484939.6599917,65000,2.161569595336914
1730484943.138936,67584,0.81682288646698
1730484946.0751169,69632,7.269763469696045
1730484985.0409868,70000,0.3894135355949402
1730484998.093715,73728,2.90973162651062
1730485074.2608674,75000,2.1331446170806885
1730485084.8318784,77824,0.7078554630279541
1730485093.4240408,79872,0.5940487384796143
1730485136.6744597,80000,1.5046793222427368
1730485141.4437509,83968,0.28670012950897217
1730485214.409253,85000,0.024051286280155182
1730485225.0810933,88064,0.0907587856054306
1730485306.9970617,90000,0.49625614285469055
1730485311.2491415,92160,0.44056448340415955
1730485317.2253807,94208,0.14938029646873474
1730485392.171495,95000,1.6658903360366821
1730485402.8330405,98304,0.21249839663505554
1730485438.5089498,100000,0.3539689779281616
