game_id,set_of_rules_id,played_at,nb_participants
74766,8,2024-12-17 22:26:00.376781+01:00,3
74767,8,2024-12-17 22:26:00.420854+01:00,3
74768,8,2024-12-17 22:26:00.471179+01:00,3
74769,8,2024-12-17 22:26:00.532314+01:00,3
74770,8,2024-12-17 22:26:00.581695+01:00,3
74771,8,2024-12-17 22:26:00.644327+01:00,3
74772,8,2024-12-17 22:26:00.690587+01:00,3
74773,8,2024-12-17 22:26:00.737458+01:00,3
74774,8,2024-12-17 22:26:00.773689+01:00,3
74775,8,2024-12-17 22:26:00.836324+01:00,3
74776,8,2024-12-17 22:26:00.882912+01:00,3
74777,8,2024-12-17 22:26:00.937060+01:00,3
74778,8,2024-12-17 22:26:00.986037+01:00,3
74779,8,2024-12-17 22:26:01.038056+01:00,3
74780,8,2024-12-17 22:26:01.086442+01:00,3
74781,8,2024-12-17 22:26:01.129861+01:00,3
74782,8,2024-12-17 22:26:01.176407+01:00,3
74783,8,2024-12-17 22:26:01.237676+01:00,3
74784,8,2024-12-17 22:26:01.297497+01:00,3
74785,8,2024-12-17 22:26:01.341052+01:00,3
74786,8,2024-12-17 22:26:01.395012+01:00,3
74787,8,2024-12-17 22:26:01.453665+01:00,3
74788,8,2024-12-17 22:26:01.497969+01:00,3
74789,8,2024-12-17 22:26:01.593352+01:00,3
74790,8,2024-12-17 22:26:01.630084+01:00,3
74791,8,2024-12-17 22:26:01.682682+01:00,3
74792,8,2024-12-17 22:26:01.729130+01:00,3
74793,8,2024-12-17 22:26:01.770614+01:00,3
74794,8,2024-12-17 22:26:01.820653+01:00,3
74795,8,2024-12-17 22:26:01.874509+01:00,3
74796,8,2024-12-17 22:26:01.933696+01:00,3
74797,8,2024-12-17 22:26:01.977668+01:00,3
74798,8,2024-12-17 22:26:02.018064+01:00,3
74799,8,2024-12-17 22:26:02.085062+01:00,3
74800,8,2024-12-17 22:26:02.133611+01:00,3
74801,8,2024-12-17 22:26:02.177759+01:00,3
74802,8,2024-12-17 22:26:02.213476+01:00,3
74803,8,2024-12-17 22:26:02.269973+01:00,3
74804,8,2024-12-17 22:26:02.316390+01:00,3
74805,8,2024-12-17 22:26:02.364715+01:00,3
74806,8,2024-12-17 22:26:02.407131+01:00,3
74807,8,2024-12-17 22:26:02.473969+01:00,3
74808,8,2024-12-17 22:26:02.521984+01:00,3
74809,8,2024-12-17 22:26:02.586301+01:00,3
74810,8,2024-12-17 22:26:02.651956+01:00,3
74811,8,2024-12-17 22:26:02.709579+01:00,3
74812,8,2024-12-17 22:26:02.756062+01:00,3
74813,8,2024-12-17 22:26:02.799687+01:00,3
74814,8,2024-12-17 22:26:02.849658+01:00,3
74815,8,2024-12-17 22:26:02.908552+01:00,3
74816,8,2024-12-17 22:26:02.977963+01:00,3
74817,8,2024-12-17 22:26:03.037124+01:00,3
74818,8,2024-12-17 22:26:03.092810+01:00,3
74819,8,2024-12-17 22:26:03.133561+01:00,3
74820,8,2024-12-17 22:26:03.180261+01:00,3
74821,8,2024-12-17 22:26:03.225203+01:00,3
74822,8,2024-12-17 22:26:03.271061+01:00,3
74823,8,2024-12-17 22:26:03.312014+01:00,3
74824,8,2024-12-17 22:26:03.360518+01:00,3
74825,8,2024-12-17 22:26:03.400799+01:00,3
74826,8,2024-12-17 22:26:03.441817+01:00,3
74827,8,2024-12-17 22:26:03.484669+01:00,3
74828,8,2024-12-17 22:26:03.529362+01:00,3
74829,8,2024-12-17 22:26:03.573727+01:00,3
74830,8,2024-12-17 22:26:03.612284+01:00,3
74831,8,2024-12-17 22:26:03.655672+01:00,3
74832,8,2024-12-17 22:26:03.697728+01:00,3
74833,8,2024-12-17 22:26:03.738446+01:00,3
74834,8,2024-12-17 22:26:03.847482+01:00,3
74835,8,2024-12-17 22:26:03.903731+01:00,3
74836,8,2024-12-17 22:26:03.945716+01:00,3
74837,8,2024-12-17 22:26:04.005863+01:00,3
74838,8,2024-12-17 22:26:04.058322+01:00,3
74839,8,2024-12-17 22:26:04.129225+01:00,3
74840,8,2024-12-17 22:26:04.179200+01:00,3
74841,8,2024-12-17 22:26:04.225386+01:00,3
74842,8,2024-12-17 22:26:04.281887+01:00,3
74843,8,2024-12-17 22:26:04.323763+01:00,3
74844,8,2024-12-17 22:26:04.368309+01:00,3
74845,8,2024-12-17 22:26:04.424502+01:00,3
74846,8,2024-12-17 22:26:04.475795+01:00,3
74847,8,2024-12-17 22:26:04.516268+01:00,3
74848,8,2024-12-17 22:26:04.565445+01:00,3
74849,8,2024-12-17 22:26:04.607252+01:00,3
74850,8,2024-12-17 22:26:04.657336+01:00,3
74851,8,2024-12-17 22:26:04.700964+01:00,3
74852,8,2024-12-17 22:26:04.746422+01:00,3
74853,8,2024-12-17 22:26:04.792807+01:00,3
74854,8,2024-12-17 22:26:04.841390+01:00,3
74855,8,2024-12-17 22:26:04.896112+01:00,3
74856,8,2024-12-17 22:26:04.934796+01:00,3
74857,8,2024-12-17 22:26:04.977065+01:00,3
74858,8,2024-12-17 22:26:05.021593+01:00,3
74859,8,2024-12-17 22:26:05.059716+01:00,3
74860,8,2024-12-17 22:26:05.102801+01:00,3
74861,8,2024-12-17 22:26:05.146258+01:00,3
74862,8,2024-12-17 22:26:05.191210+01:00,3
74863,8,2024-12-17 22:26:05.232295+01:00,3
74864,8,2024-12-17 22:26:05.301919+01:00,3
74865,8,2024-12-17 22:26:05.343539+01:00,3
74866,8,2024-12-17 22:26:05.381771+01:00,3
74867,8,2024-12-17 22:26:05.423217+01:00,3
74868,8,2024-12-17 22:26:05.471951+01:00,3
74869,8,2024-12-17 22:26:05.512700+01:00,3
74870,8,2024-12-17 22:26:05.571517+01:00,3
74871,8,2024-12-17 22:26:05.654214+01:00,3
74872,8,2024-12-17 22:26:05.698323+01:00,3
74873,8,2024-12-17 22:26:05.749307+01:00,3
74874,8,2024-12-17 22:26:05.792465+01:00,3
74875,8,2024-12-17 22:26:05.850993+01:00,3
74876,8,2024-12-17 22:26:05.905339+01:00,3
74877,8,2024-12-17 22:26:05.953321+01:00,3
74878,8,2024-12-17 22:26:06.004021+01:00,3
74879,8,2024-12-17 22:26:06.045691+01:00,3
74880,8,2024-12-17 22:26:06.094740+01:00,3
74881,8,2024-12-17 22:26:06.148011+01:00,3
74882,8,2024-12-17 22:26:06.204348+01:00,3
74883,8,2024-12-17 22:26:06.243926+01:00,3
74884,8,2024-12-17 22:26:06.282644+01:00,3
74885,8,2024-12-17 22:26:06.321157+01:00,3
74886,8,2024-12-17 22:26:06.370016+01:00,3
74887,8,2024-12-17 22:26:06.410148+01:00,3
74888,8,2024-12-17 22:26:06.456890+01:00,3
74889,8,2024-12-17 22:26:06.506880+01:00,3
74890,8,2024-12-17 22:26:06.556646+01:00,3
74891,8,2024-12-17 22:26:06.599874+01:00,3
74892,8,2024-12-17 22:26:06.649496+01:00,3
74893,8,2024-12-17 22:26:06.698544+01:00,3
74894,8,2024-12-17 22:26:06.736737+01:00,3
74895,8,2024-12-17 22:26:06.777871+01:00,3
74896,8,2024-12-17 22:26:06.822838+01:00,3
74897,8,2024-12-17 22:26:06.861861+01:00,3
74898,8,2024-12-17 22:26:06.906681+01:00,3
74899,8,2024-12-17 22:26:06.945358+01:00,3
74900,8,2024-12-17 22:26:06.997140+01:00,3
74901,8,2024-12-17 22:26:07.049462+01:00,3
74902,8,2024-12-17 22:26:07.095998+01:00,3
74903,8,2024-12-17 22:26:07.166561+01:00,3
74904,8,2024-12-17 22:26:07.217197+01:00,3
74905,8,2024-12-17 22:26:07.262244+01:00,3
74906,8,2024-12-17 22:26:07.313570+01:00,3
74907,8,2024-12-17 22:26:07.358110+01:00,3
74908,8,2024-12-17 22:26:07.401005+01:00,3
74909,8,2024-12-17 22:26:07.447659+01:00,3
74910,8,2024-12-17 22:26:07.498167+01:00,3
74911,8,2024-12-17 22:26:07.566728+01:00,3
74912,8,2024-12-17 22:26:07.608856+01:00,3
74913,8,2024-12-17 22:26:07.670668+01:00,3
74914,8,2024-12-17 22:26:07.724411+01:00,3
74915,8,2024-12-17 22:26:07.785477+01:00,3
74916,8,2024-12-17 22:26:07.831552+01:00,3
74917,8,2024-12-17 22:26:07.875768+01:00,3
74918,8,2024-12-17 22:26:07.939275+01:00,3
74919,8,2024-12-17 22:26:07.978488+01:00,3
74920,8,2024-12-17 22:26:08.022190+01:00,3
74921,8,2024-12-17 22:26:08.063535+01:00,3
74922,8,2024-12-17 22:26:08.106432+01:00,3
74923,8,2024-12-17 22:26:08.167813+01:00,3
74924,8,2024-12-17 22:26:08.216648+01:00,3
74925,8,2024-12-17 22:26:08.258785+01:00,3
74926,8,2024-12-17 22:26:08.300114+01:00,3
74927,8,2024-12-17 22:26:08.364751+01:00,3
74928,8,2024-12-17 22:26:08.407740+01:00,3
74929,8,2024-12-17 22:26:08.461298+01:00,3
74930,8,2024-12-17 22:26:08.498991+01:00,3
74931,8,2024-12-17 22:26:08.542004+01:00,3
74932,8,2024-12-17 22:26:08.596904+01:00,3
74933,8,2024-12-17 22:26:08.641977+01:00,3
74934,8,2024-12-17 22:26:08.682331+01:00,3
74935,8,2024-12-17 22:26:08.731315+01:00,3
74936,8,2024-12-17 22:26:08.766816+01:00,3
74937,8,2024-12-17 22:26:08.815367+01:00,3
74938,8,2024-12-17 22:26:08.870583+01:00,3
74939,8,2024-12-17 22:26:08.911523+01:00,3
74940,8,2024-12-17 22:26:08.964346+01:00,3
74941,8,2024-12-17 22:26:09.029417+01:00,3
74942,8,2024-12-17 22:26:09.098144+01:00,3
74943,8,2024-12-17 22:26:09.140828+01:00,3
74944,8,2024-12-17 22:26:09.183853+01:00,3
74945,8,2024-12-17 22:26:09.228080+01:00,3
74946,8,2024-12-17 22:26:09.278351+01:00,3
74947,8,2024-12-17 22:26:09.324002+01:00,3
74948,8,2024-12-17 22:26:09.359838+01:00,3
74949,8,2024-12-17 22:26:09.409051+01:00,3
74950,8,2024-12-17 22:26:09.457303+01:00,3
74951,8,2024-12-17 22:26:09.511155+01:00,3
74952,8,2024-12-17 22:26:09.556178+01:00,3
74953,8,2024-12-17 22:26:09.607252+01:00,3
74954,8,2024-12-17 22:26:09.645581+01:00,3
74955,8,2024-12-17 22:26:09.687126+01:00,3
74956,8,2024-12-17 22:26:09.738661+01:00,3
74957,8,2024-12-17 22:26:09.778911+01:00,3
74958,8,2024-12-17 22:26:09.822026+01:00,3
74959,8,2024-12-17 22:26:09.864591+01:00,3
74960,8,2024-12-17 22:26:09.917669+01:00,3
74961,8,2024-12-17 22:26:09.958207+01:00,3
74962,8,2024-12-17 22:26:10.019857+01:00,3
74963,8,2024-12-17 22:26:10.069010+01:00,3
74964,8,2024-12-17 22:26:10.141117+01:00,3
74965,8,2024-12-17 22:26:10.200907+01:00,3
74966,8,2024-12-17 22:26:10.246768+01:00,3
74967,8,2024-12-17 22:26:10.291070+01:00,3
74968,8,2024-12-17 22:26:10.338111+01:00,3
74969,8,2024-12-17 22:26:10.404157+01:00,3
74970,8,2024-12-17 22:26:10.452506+01:00,3
74971,8,2024-12-17 22:26:10.495267+01:00,3
74972,8,2024-12-17 22:26:10.542482+01:00,3
74973,8,2024-12-17 22:26:10.584033+01:00,3
74974,8,2024-12-17 22:26:10.639593+01:00,3
74975,8,2024-12-17 22:26:10.689959+01:00,3
74976,8,2024-12-17 22:26:10.741181+01:00,3
74977,8,2024-12-17 22:26:10.805255+01:00,3
74978,8,2024-12-17 22:26:10.848717+01:00,3
74979,8,2024-12-17 22:26:10.892680+01:00,3
74980,8,2024-12-17 22:26:10.944581+01:00,3
74981,8,2024-12-17 22:26:10.989690+01:00,3
74982,8,2024-12-17 22:26:11.036716+01:00,3
74983,8,2024-12-17 22:26:11.082592+01:00,3
74984,8,2024-12-17 22:26:11.120983+01:00,3
74985,8,2024-12-17 22:26:11.161683+01:00,3
74986,8,2024-12-17 22:26:11.220545+01:00,3
74987,8,2024-12-17 22:26:11.266937+01:00,3
74988,8,2024-12-17 22:26:11.320402+01:00,3
74989,8,2024-12-17 22:26:11.374540+01:00,3
74990,8,2024-12-17 22:26:11.427820+01:00,3
74991,8,2024-12-17 22:26:11.487356+01:00,3
74992,8,2024-12-17 22:26:11.528799+01:00,3
74993,8,2024-12-17 22:26:11.574221+01:00,3
74994,8,2024-12-17 22:26:11.618561+01:00,3
74995,8,2024-12-17 22:26:11.669489+01:00,3
74996,8,2024-12-17 22:26:11.707124+01:00,3
74997,8,2024-12-17 22:26:11.765404+01:00,3
74998,8,2024-12-17 22:26:11.809100+01:00,3
74999,8,2024-12-17 22:26:11.859004+01:00,3
75000,8,2024-12-17 22:26:11.906040+01:00,3
75001,8,2024-12-17 22:26:11.957665+01:00,3
75002,8,2024-12-17 22:26:11.996825+01:00,3
75003,8,2024-12-17 22:26:12.035406+01:00,3
75004,8,2024-12-17 22:26:12.090900+01:00,3
75005,8,2024-12-17 22:26:12.144452+01:00,3
75006,8,2024-12-17 22:26:12.202448+01:00,3
75007,8,2024-12-17 22:26:12.243589+01:00,3
75008,8,2024-12-17 22:26:12.281509+01:00,3
75009,8,2024-12-17 22:26:12.318768+01:00,3
75010,8,2024-12-17 22:26:12.368107+01:00,3
75011,8,2024-12-17 22:26:12.408135+01:00,3
75012,8,2024-12-17 22:26:12.452052+01:00,3
75013,8,2024-12-17 22:26:12.500420+01:00,3
75014,8,2024-12-17 22:26:12.555879+01:00,3
75015,8,2024-12-17 22:26:12.602082+01:00,3
75016,8,2024-12-17 22:26:12.649064+01:00,3
75017,8,2024-12-17 22:26:12.696635+01:00,3
75018,8,2024-12-17 22:26:12.739939+01:00,3
75019,8,2024-12-17 22:26:12.791241+01:00,3
75020,8,2024-12-17 22:26:12.837017+01:00,3
75021,8,2024-12-17 22:26:12.882441+01:00,3
75022,8,2024-12-17 22:26:12.930908+01:00,3
75023,8,2024-12-17 22:26:12.976446+01:00,3
75024,8,2024-12-17 22:26:13.021487+01:00,3
75025,8,2024-12-17 22:26:13.065461+01:00,3
75026,8,2024-12-17 22:26:13.104577+01:00,3
75027,8,2024-12-17 22:26:13.155787+01:00,3
75028,8,2024-12-17 22:26:13.219267+01:00,3
75029,8,2024-12-17 22:26:13.260286+01:00,3
75030,8,2024-12-17 22:26:13.297952+01:00,3
75031,8,2024-12-17 22:26:13.344020+01:00,3
75032,8,2024-12-17 22:26:13.393451+01:00,3
75033,8,2024-12-17 22:26:13.434205+01:00,3
75034,8,2024-12-17 22:26:13.486117+01:00,3
75035,8,2024-12-17 22:26:13.526469+01:00,3
75036,8,2024-12-17 22:26:13.591332+01:00,3
75037,8,2024-12-17 22:26:13.638905+01:00,3
75038,8,2024-12-17 22:26:13.698763+01:00,3
75039,8,2024-12-17 22:26:13.747149+01:00,3
75040,8,2024-12-17 22:26:13.787638+01:00,3
75041,8,2024-12-17 22:26:13.828829+01:00,3
75042,8,2024-12-17 22:26:13.867841+01:00,3
75043,8,2024-12-17 22:26:13.915252+01:00,3
75044,8,2024-12-17 22:26:13.958945+01:00,3
75045,8,2024-12-17 22:26:14.006368+01:00,3
75046,8,2024-12-17 22:26:14.062463+01:00,3
75047,8,2024-12-17 22:26:14.105382+01:00,3
75048,8,2024-12-17 22:26:14.160616+01:00,3
75049,8,2024-12-17 22:26:14.224684+01:00,3
75050,8,2024-12-17 22:26:14.268656+01:00,3
75051,8,2024-12-17 22:26:14.311901+01:00,3
75052,8,2024-12-17 22:26:14.353658+01:00,3
75053,8,2024-12-17 22:26:14.398218+01:00,3
75054,8,2024-12-17 22:26:14.440554+01:00,3
75055,8,2024-12-17 22:26:14.484392+01:00,3
75056,8,2024-12-17 22:26:14.538438+01:00,3
75057,8,2024-12-17 22:26:14.576551+01:00,3
75058,8,2024-12-17 22:26:14.627779+01:00,3
75059,8,2024-12-17 22:26:14.672809+01:00,3
75060,8,2024-12-17 22:26:14.718388+01:00,3
75061,8,2024-12-17 22:26:14.765522+01:00,3
75062,8,2024-12-17 22:26:14.804739+01:00,3
75063,8,2024-12-17 22:26:14.850258+01:00,3
75064,8,2024-12-17 22:26:14.913389+01:00,3
75065,8,2024-12-17 22:26:14.959291+01:00,3
75066,8,2024-12-17 22:26:14.996088+01:00,3
75067,8,2024-12-17 22:26:15.044514+01:00,3
75068,8,2024-12-17 22:26:15.086921+01:00,3
75069,8,2024-12-17 22:26:15.131050+01:00,3
75070,8,2024-12-17 22:26:15.170400+01:00,3
75071,8,2024-12-17 22:26:15.225377+01:00,3
75072,8,2024-12-17 22:26:15.267683+01:00,3
75073,8,2024-12-17 22:26:15.308089+01:00,3
75074,8,2024-12-17 22:26:15.357962+01:00,3
75075,8,2024-12-17 22:26:15.410414+01:00,3
75076,8,2024-12-17 22:26:15.466799+01:00,3
75077,8,2024-12-17 22:26:15.504702+01:00,3
75078,8,2024-12-17 22:26:15.557178+01:00,3
75079,8,2024-12-17 22:26:15.598874+01:00,3
75080,8,2024-12-17 22:26:15.648694+01:00,3
75081,8,2024-12-17 22:26:15.690700+01:00,3
75082,8,2024-12-17 22:26:15.740251+01:00,3
75083,8,2024-12-17 22:26:15.780400+01:00,3
75084,8,2024-12-17 22:26:15.822888+01:00,3
75085,8,2024-12-17 22:26:15.866362+01:00,3
75086,8,2024-12-17 22:26:15.915397+01:00,3
75087,8,2024-12-17 22:26:15.963880+01:00,3
75088,8,2024-12-17 22:26:16.018925+01:00,3
75089,8,2024-12-17 22:26:16.067341+01:00,3
75090,8,2024-12-17 22:26:16.117663+01:00,3
75091,8,2024-12-17 22:26:16.152202+01:00,3
75092,8,2024-12-17 22:26:16.190236+01:00,3
75093,8,2024-12-17 22:26:16.231455+01:00,3
75094,8,2024-12-17 22:26:16.274482+01:00,3
75095,8,2024-12-17 22:26:16.316993+01:00,3
75096,8,2024-12-17 22:26:16.385809+01:00,3
75097,8,2024-12-17 22:26:16.426301+01:00,3
75098,8,2024-12-17 22:26:16.473970+01:00,3
75099,8,2024-12-17 22:26:16.546810+01:00,3
75100,8,2024-12-17 22:26:16.589481+01:00,3
75101,8,2024-12-17 22:26:16.646137+01:00,3
75102,8,2024-12-17 22:26:16.705033+01:00,3
75103,8,2024-12-17 22:26:16.756234+01:00,3
75104,8,2024-12-17 22:26:16.807293+01:00,3
75105,8,2024-12-17 22:26:16.861873+01:00,3
75106,8,2024-12-17 22:26:16.906262+01:00,3
75107,8,2024-12-17 22:26:16.951809+01:00,3
75108,8,2024-12-17 22:26:16.991399+01:00,3
75109,8,2024-12-17 22:26:17.027556+01:00,3
75110,8,2024-12-17 22:26:17.081027+01:00,3
75111,8,2024-12-17 22:26:17.123675+01:00,3
75112,8,2024-12-17 22:26:17.165529+01:00,3
75113,8,2024-12-17 22:26:17.206566+01:00,3
75114,8,2024-12-17 22:26:17.241307+01:00,3
75115,8,2024-12-17 22:26:17.279566+01:00,3
75116,8,2024-12-17 22:26:17.310128+01:00,3
75117,8,2024-12-17 22:26:17.350017+01:00,3
75118,8,2024-12-17 22:26:17.425879+01:00,3
75119,8,2024-12-17 22:26:17.469040+01:00,3
75120,8,2024-12-17 22:26:17.516895+01:00,3
75121,8,2024-12-17 22:26:17.561616+01:00,3
75122,8,2024-12-17 22:26:17.619122+01:00,3
75123,8,2024-12-17 22:26:17.666149+01:00,3
75124,8,2024-12-17 22:26:17.704870+01:00,3
75125,8,2024-12-17 22:26:17.746757+01:00,3
75126,8,2024-12-17 22:26:17.787140+01:00,3
75127,8,2024-12-17 22:26:17.835243+01:00,3
75128,8,2024-12-17 22:26:17.883065+01:00,3
75129,8,2024-12-17 22:26:17.930611+01:00,3
75130,8,2024-12-17 22:26:17.969901+01:00,3
75131,8,2024-12-17 22:26:18.026522+01:00,3
75132,8,2024-12-17 22:26:18.068909+01:00,3
75133,8,2024-12-17 22:26:18.108748+01:00,3
75134,8,2024-12-17 22:26:18.180532+01:00,3
75135,8,2024-12-17 22:26:18.226548+01:00,3
75136,8,2024-12-17 22:26:18.272587+01:00,3
75137,8,2024-12-17 22:26:18.331314+01:00,3
75138,8,2024-12-17 22:26:18.389705+01:00,3
75139,8,2024-12-17 22:26:18.436805+01:00,3
75140,8,2024-12-17 22:26:18.495498+01:00,3
75141,8,2024-12-17 22:26:18.535850+01:00,3
75142,8,2024-12-17 22:26:18.586709+01:00,3
75143,8,2024-12-17 22:26:18.623546+01:00,3
75144,8,2024-12-17 22:26:18.666746+01:00,3
75145,8,2024-12-17 22:26:18.707447+01:00,3
75146,8,2024-12-17 22:26:18.751366+01:00,3
75147,8,2024-12-17 22:26:18.792019+01:00,3
75148,8,2024-12-17 22:26:18.830341+01:00,3
75149,8,2024-12-17 22:26:18.881415+01:00,3
75150,8,2024-12-17 22:26:18.926672+01:00,3
75151,8,2024-12-17 22:26:18.984367+01:00,3
75152,8,2024-12-17 22:26:19.035958+01:00,3
75153,8,2024-12-17 22:26:19.094734+01:00,3
75154,8,2024-12-17 22:26:19.145337+01:00,3
75155,8,2024-12-17 22:26:19.192306+01:00,3
75156,8,2024-12-17 22:26:19.234791+01:00,3
75157,8,2024-12-17 22:26:19.273068+01:00,3
75158,8,2024-12-17 22:26:19.317647+01:00,3
75159,8,2024-12-17 22:26:19.364728+01:00,3
75160,8,2024-12-17 22:26:19.426622+01:00,3
75161,8,2024-12-17 22:26:19.467306+01:00,3
75162,8,2024-12-17 22:26:19.513734+01:00,3
75163,8,2024-12-17 22:26:19.575240+01:00,3
75164,8,2024-12-17 22:26:19.656085+01:00,3
75165,8,2024-12-17 22:26:19.711868+01:00,3
75166,8,2024-12-17 22:26:19.751337+01:00,3
75167,8,2024-12-17 22:26:19.794886+01:00,3
75168,8,2024-12-17 22:26:19.843378+01:00,3
75169,8,2024-12-17 22:26:19.883866+01:00,3
