participant_id,game_id,player_id,num_player_game,action_stats,turn_order,reward_action_agent,reward_rectified,nb_moves,is_winner,nb_actions_interdites,nb_pawns_in_goal
112,56,1,2,112,2,-10,0,24,False,1,0
113,57,1,1,113,1,0,0,22,True,0,1
114,57,1,2,114,2,0,0,21,False,0,0
115,58,1,1,115,1,-20,0,22,True,2,1
116,58,1,2,116,2,-20,0,21,False,2,0
117,59,1,1,117,1,0,0,20,False,0,0
118,59,1,2,118,2,0,0,20,True,0,1
119,60,1,1,119,1,0,0,22,True,0,1
120,60,1,2,120,2,0,0,21,False,0,0
121,61,1,1,121,1,-10,0,20,True,1,1
122,61,1,2,122,2,0,0,19,False,0,0
123,62,1,1,123,1,0,0,31,False,0,0
124,62,1,2,124,2,0,0,31,True,0,1
125,63,1,1,125,1,0,0,22,True,0,1
126,63,1,2,126,2,0,0,21,False,0,0
127,64,1,1,127,1,-10,0,19,True,1,1
128,64,1,2,128,2,0,0,18,False,0,0
129,65,1,1,129,1,0,0,23,True,0,1
130,65,1,2,130,2,0,0,22,False,0,0
131,66,1,1,131,1,0,0,17,False,0,0
132,66,1,2,132,2,0,0,17,True,0,1
133,67,1,1,133,1,0,0,19,False,0,0
134,67,1,2,134,2,0,0,19,True,0,1
135,68,1,1,135,1,0,0,24,True,0,1
136,68,1,2,136,2,0,0,23,False,0,0
137,69,1,1,137,1,-10,0,20,False,1,0
138,69,1,2,138,2,0,0,20,True,0,1
139,70,1,1,139,1,0,0,20,False,0,0
140,70,1,2,140,2,0,0,20,True,0,1
141,71,1,1,141,1,0,0,25,False,0,0
142,71,1,2,142,2,-10,0,25,True,1,1
143,72,1,1,143,1,0,0,38,True,0,1
144,72,1,2,144,2,0,0,37,False,0,0
145,73,1,1,145,1,0,0,19,False,0,0
146,73,1,2,146,2,0,0,19,True,0,1
147,74,1,1,147,1,-10,0,25,True,1,1
148,74,1,2,148,2,-10,0,24,False,1,0
149,75,1,1,149,1,0,0,18,False,0,0
150,75,1,2,150,2,0,0,18,True,0,1
151,76,1,1,151,1,0,0,19,False,0,0
152,76,1,2,152,2,0,0,19,True,0,1
153,77,1,1,153,1,0,0,20,True,0,1
154,77,1,2,154,2,0,0,19,False,0,0
155,78,1,1,155,1,0,0,22,True,0,1
156,78,1,2,156,2,0,0,21,False,0,0
157,79,1,1,157,1,0,0,23,True,0,1
158,79,1,2,158,2,0,0,22,False,0,0
159,80,1,1,159,1,0,0,23,True,0,1
160,80,1,2,160,2,0,0,22,False,0,0
161,81,1,1,161,1,-50,0,32,True,5,1
162,81,1,2,162,2,-50,0,31,False,5,0
163,82,1,1,163,1,0,0,18,True,0,1
164,82,1,2,164,2,0,0,17,False,0,0
165,83,1,1,165,1,0,0,19,False,0,0
166,83,1,2,166,2,0,0,19,True,0,1
167,84,1,1,167,1,-30,0,19,True,3,1
168,84,1,2,168,2,0,0,18,False,0,0
169,85,1,1,169,1,0,0,18,True,0,1
170,85,1,2,170,2,0,0,17,False,0,0
171,86,1,1,171,1,0,0,21,False,0,0
172,86,1,2,172,2,0,0,21,True,0,1
173,87,1,1,173,1,0,0,20,True,0,1
174,87,1,2,174,2,0,0,19,False,0,0
175,88,1,1,175,1,0,0,22,False,0,0
176,88,1,2,176,2,0,0,22,True,0,1
177,89,1,1,177,1,0,0,17,False,0,0
178,89,1,2,178,2,-10,0,17,True,1,1
179,90,1,1,179,1,0,0,19,False,0,0
180,90,1,2,180,2,0,0,19,True,0,1
181,91,1,1,181,1,0,0,16,False,0,0
182,91,1,2,182,2,0,0,16,True,0,1
183,92,1,1,183,1,0,0,19,True,0,1
184,92,1,2,184,2,0,0,18,False,0,0
185,93,1,1,185,1,0,0,19,True,0,1
186,93,1,2,186,2,0,0,18,False,0,0
187,94,1,1,187,1,0,0,19,True,0,1
188,94,1,2,188,2,-10,0,18,False,1,0
189,95,1,1,189,1,-20,0,26,False,2,0
190,95,1,2,190,2,-30,0,26,True,3,1
191,96,1,1,191,1,0,0,18,False,0,0
192,96,1,2,192,2,0,0,18,True,0,1
193,97,1,1,193,1,0,0,16,True,0,1
194,97,1,2,194,2,0,0,15,False,0,0
195,98,1,1,195,1,0,0,22,False,0,0
196,98,1,2,196,2,-10,0,22,True,1,1
197,99,1,1,197,1,-20,0,32,False,2,0
198,99,1,2,198,2,-60,0,32,True,6,1
199,100,1,1,199,1,0,0,25,True,0,1
200,100,1,2,200,2,0,0,24,False,0,0
201,101,1,1,201,1,-20,0,40,False,2,0
202,101,2,2,202,2,90,172,40,True,5,1
203,102,1,1,203,1,0,0,24,True,0,1
204,102,2,2,204,2,50,50,23,False,0,0
205,103,1,1,205,1,-70,0,25,True,7,1
206,103,2,2,206,2,110,110,24,False,0,0
207,104,1,1,207,1,0,0,21,True,0,1
208,104,2,2,208,2,125,125,20,False,0,0
209,105,1,1,209,1,-30,0,22,True,3,1
210,105,2,2,210,2,55,120,21,False,5,0
211,106,1,1,211,1,-40,0,38,True,4,1
212,106,2,2,212,2,105,195,37,False,8,0
213,107,1,1,213,1,-10,0,17,True,1,1
214,107,2,2,214,2,70,70,16,False,0,0
215,108,1,1,215,1,-70,0,29,True,7,1
216,108,2,2,216,2,130,145,28,False,1,0
217,109,1,1,217,1,-20,0,22,True,2,1
218,109,2,2,218,2,150,150,21,False,0,0
219,110,1,1,219,1,-50,0,20,True,5,1
220,110,2,2,220,2,115,115,19,False,0,0
221,111,1,1,221,1,0,0,21,True,0,1
222,111,2,2,222,2,75,75,20,False,0,0
223,112,1,1,223,1,0,0,38,True,0,1
224,112,2,2,224,2,210,210,37,False,0,0
225,113,1,1,225,1,-10,0,16,True,1,1
226,113,2,2,226,2,115,115,15,False,0,0
227,114,1,1,227,1,-20,0,23,True,2,1
228,114,2,2,228,2,75,75,22,False,0,0
229,115,1,1,229,1,-10,0,36,True,1,1
230,115,2,2,230,2,155,235,35,False,3,0
231,116,1,1,231,1,0,0,22,True,0,1
232,116,2,2,232,2,65,65,21,False,0,0
233,117,1,1,233,1,-10,0,19,True,1,1
234,117,2,2,234,2,130,130,18,False,0,0
235,118,1,1,235,1,-20,0,31,True,2,1
236,118,2,2,236,2,140,180,30,False,2,0
237,119,1,1,237,1,-80,0,25,True,8,1
238,119,2,2,238,2,120,120,24,False,0,0
239,120,1,1,239,1,-10,0,24,True,1,1
240,120,2,2,240,2,50,70,23,False,2,0
241,121,1,1,241,1,-10,0,25,True,1,1
242,121,2,2,242,2,120,156,24,False,2,0
243,122,1,1,243,1,0,0,17,True,0,1
244,122,2,2,244,2,80,80,16,False,0,0
245,123,1,1,245,1,-30,0,30,False,3,0
246,123,2,2,246,2,155,186,30,True,2,1
247,124,1,1,247,1,0,0,20,True,0,1
248,124,2,2,248,2,120,120,19,False,0,0
249,125,1,1,249,1,-10,0,24,True,1,1
250,125,2,2,250,2,160,160,23,False,0,0
251,126,1,1,251,1,-30,0,23,True,3,1
252,126,2,2,252,2,110,110,22,False,0,0
253,127,1,1,253,1,0,0,28,True,0,1
254,127,2,2,254,2,125,160,27,False,2,0
255,128,1,1,255,1,-20,0,18,True,2,1
256,128,2,2,256,2,115,115,17,False,0,0
257,129,1,1,257,1,0,0,17,True,0,1
258,129,2,2,258,2,75,75,16,False,0,0
259,130,1,1,259,1,-10,0,26,True,1,1
260,130,2,2,260,2,135,135,25,False,0,0
261,131,1,1,261,1,0,0,20,True,0,1
262,131,2,2,262,2,45,45,19,False,0,0
263,132,1,1,263,1,-20,0,20,True,2,1
264,132,2,2,264,2,125,125,19,False,0,0
265,133,1,1,265,1,-80,0,37,True,8,1
266,133,2,2,266,2,190,245,36,False,2,0
267,134,1,1,267,1,0,0,19,True,0,1
268,134,2,2,268,2,20,20,18,False,0,0
269,135,1,1,269,1,0,0,26,True,0,1
270,135,2,2,270,2,110,110,25,False,0,0
271,136,1,1,271,1,-70,0,23,True,7,1
272,136,2,2,272,2,115,115,22,False,0,0
273,137,1,1,273,1,-20,0,19,True,2,1
274,137,2,2,274,2,105,105,18,False,0,0
275,138,1,1,275,1,-10,0,30,True,1,1
276,138,2,2,276,2,155,170,29,False,1,0
277,139,1,1,277,1,-10,0,24,True,1,1
278,139,2,2,278,2,155,155,23,False,0,0
279,140,1,1,279,1,-40,0,31,True,4,1
280,140,2,2,280,2,120,150,30,False,2,0
281,141,1,1,281,1,-30,0,36,True,3,1
282,141,2,2,282,2,65,180,35,False,7,0
283,142,1,1,283,1,0,0,18,True,0,1
284,142,2,2,284,2,45,45,17,False,0,0
285,143,1,1,285,1,-50,0,30,False,5,0
286,143,2,2,286,2,130,150,30,True,1,1
287,144,1,1,287,1,-40,0,20,True,4,1
288,144,2,2,288,2,30,80,19,False,4,0
289,145,1,1,289,1,0,0,25,True,0,1
290,145,2,2,290,2,145,145,24,False,0,0
291,146,1,1,291,1,0,0,25,True,0,1
292,146,2,2,292,2,35,35,24,False,0,0
293,147,1,1,293,1,-20,0,26,True,2,1
294,147,2,2,294,2,165,165,25,False,0,0
295,148,1,1,295,1,-20,0,21,True,2,1
296,148,2,2,296,2,105,105,20,False,0,0
297,149,1,1,297,1,-20,0,26,True,2,1
298,149,2,2,298,2,130,130,25,False,0,0
299,150,1,1,299,1,0,0,21,True,0,1
300,150,2,2,300,2,120,120,20,False,0,0
301,151,1,1,301,1,0,0,40,True,0,1
302,151,2,2,302,2,160,185,39,False,1,0
303,152,1,1,303,1,-30,0,25,True,3,1
304,152,2,2,304,2,115,145,24,False,2,0
305,153,1,1,305,1,-20,0,24,True,2,1
306,153,2,2,306,2,130,130,23,False,0,0
307,154,1,1,307,1,0,0,50,False,0,0
308,154,2,2,308,2,155,231,50,True,4,1
309,155,1,1,309,1,-20,0,17,True,2,1
310,155,2,2,310,2,110,110,16,False,0,0
311,156,1,1,311,1,-10,0,38,False,1,0
312,156,2,2,312,2,190,235,38,True,2,1
313,157,1,1,313,1,-40,0,22,True,4,1
314,157,2,2,314,2,130,130,21,False,0,0
315,158,1,1,315,1,0,0,30,True,0,1
316,158,2,2,316,2,100,100,29,False,0,0
317,159,1,1,317,1,-20,0,29,True,2,1
318,159,2,2,318,2,115,115,28,False,0,0
319,160,1,1,319,1,-10,0,16,True,1,1
320,160,2,2,320,2,45,45,15,False,0,0
321,161,1,1,321,1,-20,0,50,True,2,1
322,161,2,2,322,2,180,260,49,False,3,0
323,162,1,1,323,1,-10,0,25,True,1,1
324,162,2,2,324,2,140,155,24,False,1,0
325,163,1,1,325,1,0,0,22,True,0,1
326,163,2,2,326,2,115,115,21,False,0,0
327,164,1,1,327,1,-50,0,30,True,5,1
328,164,2,2,328,2,100,115,29,False,1,0
329,165,1,1,329,1,0,0,36,True,0,1
330,165,2,2,330,2,180,195,35,False,1,0
331,166,1,1,331,1,-40,0,26,True,4,1
332,166,2,2,332,2,135,165,25,False,2,0
333,167,1,1,333,1,-10,0,15,True,1,1
334,167,2,2,334,2,0,0,14,False,0,0
335,168,1,1,335,1,-30,0,25,True,3,1
336,168,2,2,336,2,75,150,24,False,6,0
337,169,1,1,337,1,-10,0,19,True,1,1
338,169,2,2,338,2,115,115,18,False,0,0
339,170,1,1,339,1,0,0,26,True,0,1
340,170,2,2,340,2,115,115,25,False,0,0
341,171,1,1,341,1,-30,0,22,True,3,1
342,171,2,2,342,2,130,130,21,False,0,0
343,172,1,1,343,1,-30,0,29,True,3,1
344,172,2,2,344,2,145,160,28,False,1,0
345,173,1,1,345,1,-60,0,27,False,6,0
346,173,2,2,346,2,160,180,27,True,1,1
347,174,1,1,347,1,-60,0,31,True,6,1
348,174,2,2,348,2,150,186,30,False,2,0
349,175,1,1,349,1,-80,0,30,True,8,1
350,175,2,2,350,2,55,140,29,False,7,0
351,176,1,1,351,1,0,0,18,True,0,1
352,176,2,2,352,2,0,0,17,False,0,0
353,177,1,1,353,1,-10,0,28,True,1,1
354,177,2,2,354,2,140,195,27,False,2,0
355,178,1,1,355,1,0,0,24,True,0,1
356,178,2,2,356,2,135,135,23,False,0,0
357,179,1,1,357,1,-20,0,29,True,2,1
358,179,2,2,358,2,150,150,28,False,0,0
359,180,1,1,359,1,0,0,22,True,0,1
360,180,2,2,360,2,125,125,21,False,0,0
361,181,1,1,361,1,-10,0,20,True,1,1
362,181,2,2,362,2,115,115,19,False,0,0
363,182,1,1,363,1,0,0,18,True,0,1
364,182,2,2,364,2,70,70,17,False,0,0
365,183,1,1,365,1,-30,0,31,True,3,1
366,183,2,2,366,2,135,135,30,False,0,0
367,184,1,1,367,1,-60,0,29,True,6,1
368,184,2,2,368,2,195,195,28,False,0,0
369,185,1,1,369,1,-40,0,25,True,4,1
370,185,2,2,370,2,125,140,24,False,1,0
371,186,1,1,371,1,0,0,31,True,0,1
372,186,2,2,372,2,0,0,30,False,0,0
373,187,1,1,373,1,-70,0,28,True,7,1
374,187,2,2,374,2,125,150,27,False,2,0
375,188,1,1,375,1,-40,0,31,False,4,0
376,188,2,2,376,2,145,180,31,True,2,1
377,189,1,1,377,1,0,0,22,True,0,1
378,189,2,2,378,2,85,85,21,False,0,0
379,190,1,1,379,1,-50,0,23,True,5,1
380,190,2,2,380,2,45,110,22,False,6,0
381,191,1,1,381,1,0,0,26,True,0,1
382,191,2,2,382,2,55,55,25,False,0,0
383,192,1,1,383,1,-30,0,23,True,3,1
384,192,2,2,384,2,65,115,22,False,5,0
385,193,1,1,385,1,0,0,22,True,0,1
386,193,2,2,386,2,30,30,21,False,0,0
387,194,1,1,387,1,-30,0,26,False,3,0
