#{"t_start": 1730992483.0601444, "env_id": "None"}
r,l,t
-415162315.0,5425,1108.309963
-935672990.0,8295,1118.901927
-2491874395.0,11760,1133.880621
-1435401500.0,9382,1157.347085
-403135605.0,6890,1165.795935
-636567960.0,5986,1173.336921
-1104798580.0,8190,1183.237057
-177852605.0,3314,1187.560069
-1117867170.0,8298,1214.581061
-1583809860.0,9611,1226.945657
-343824255.0,5188,1233.676319
-538235650.0,5774,1240.814281
-6842239015.0,21859,1268.918108
-1436582190.0,8728,1288.577126
-471751695.0,5239,1294.515512
-2388269140.0,11644,1307.356821
-643645165.0,6093,1313.970649
-3722016235.0,14683,1331.781869
-75396195.0,2447,1341.727792
-3028531795.0,13060,1356.362031
-4174644460.0,15759,1375.648268
-384043020.0,4509,1380.753615
-2191273905.0,11442,1395.748953
-388146680.0,4427,1403.305365
-1057930410.0,7858,1425.813024
-1700878125.0,11504,1443.465435
-907168495.0,7270,1454.68957
-919355450.0,6898,1460.353166
-792580625.0,6839,1463.257035
-374582360.0,4745,1469.897924
-1393475360.0,9781,1474.193225
-1599786450.0,9952,1478.457035
-3231678930.0,12726,1484.528043
-937716525.0,7163,1488.132132
-3567284735.0,12375,1497.899941
-923066255.0,7875,1501.387727
-317588435.0,4671,1503.401432
-1602456935.0,9781,1507.161767
-903189400.0,8998,1511.288199
-41623945.0,1927,1515.173344
-2063195030.0,10768,1521.597698
-751356525.0,7050,1525.831805
-223685600.0,3866,1527.681848
-771548160.0,7397,1533.101711
-2219475335.0,11119,1548.303947
-3307387820.0,14167,1568.994477
-965652915.0,8526,1580.787623
-875581440.0,7941,1592.039778
-3535065560.0,13380,1611.733958
-345540415.0,3864,1617.129486
-531176415.0,6350,1638.070814
-317233945.0,4361,1644.318702
-529126915.0,6361,1652.988638
-973812275.0,8084,1664.007381
-934490425.0,7861,1675.884293
-328503615.0,4755,1701.753628
-1233646605.0,9363,1720.163021
-1696726710.0,9407,1733.678623
-1124156550.0,8878,1748.861678
-325760705.0,4901,1757.554407
-1511786320.0,8842,1786.766642
-546037415.0,6149,1790.922389
-771846835.0,6500,1795.959425
-1831043465.0,10590,1804.404304
-1084149465.0,8325,1816.890045
-41450630.0,1756,1820.265849
-313574080.0,4737,1822.80176
-2663398415.0,12924,1830.239286
-1258917395.0,8938,1835.180043
-1106872365.0,7102,1838.587585
-772028075.0,6095,1840.891968
