Wall time,Step,Value
1730541496.0760956,2500,321.8089599609375
1730541594.1230845,5000,550.5874633789062
1730541637.7206414,7500,116.24552154541016
1730541737.409297,10000,283.1003112792969
1730541751.3339462,12288,125.45785522460938
1730541813.2546825,12500,132.40797424316406
1730541867.650499,15000,117.21648406982422
1730541921.241365,17500,131.73817443847656
1730542005.5062687,20000,92.08230590820312
1730542092.8191004,22500,117.4448013305664
1730542102.0862076,24576,169.07826232910156
1730542195.7376235,25000,109.4078598022461
1730542268.4911962,27500,60.778648376464844
1730542327.4773746,30000,32.41328430175781
1730542378.0891352,32500,59.42845153808594
1730542383.9624956,34816,45.50931930541992
1730542459.9364312,35000,49.57358932495117
1730542544.9997633,37500,19.593523025512695
1730542632.9705973,40000,24.987743377685547
1730542699.7905316,42500,8.11699104309082
1730542789.5174546,45000,6.259262561798096
1730542795.3358853,47104,6.575556755065918
1730542869.3775122,47500,6.728799819946289
1730542946.6187372,50000,10.177104949951172
1730543030.88805,52500,8.80792236328125
1730543085.2759078,55000,5.8898186683654785
1730543089.4335966,57344,2.5362863540649414
1730543119.5703044,57500,5.368211269378662
1730543153.3741205,60000,1.6108577251434326
1730543184.548179,62500,2.9818291664123535
1730543223.2720869,65000,3.7035505771636963
1730543265.1039364,67500,3.066019058227539
1730543267.8820693,69632,1.0249627828598022
1730543299.8664768,70000,0.9264490008354187
1730543331.3337092,72500,5.254794597625732
1730543370.834325,75000,2.206173896789551
1730543410.3155658,77500,2.1419429779052734
1730543414.6373374,79872,1.4078007936477661
1730543446.0834665,80000,2.9279918670654297
1730543494.560575,82500,0.6173080205917358
1730543530.360039,85000,0.8874231576919556
1730543568.4813156,87500,2.0714569091796875
1730543592.925539,90000,0.9145966172218323
1730543595.858512,92160,0.8149159550666809
1730543627.7680683,92500,1.6051676273345947
1730543664.5219626,95000,2.699474573135376
1730543698.8232057,97500,1.2924526929855347
1730543721.9613369,100000,0.6122744679450989
1730543724.6831086,102400,0.2536672055721283
1730543757.2730973,102500,1.2486470937728882
1730543787.9351535,105000,2.5133090019226074
1730543818.6919327,107500,0.8984280228614807
1730543854.4090984,110000,2.1249935626983643
1730543886.8239954,112500,2.798163652420044
1730543889.7689,114688,0.8228055834770203
1730543916.603118,115000,1.6554776430130005
1730543947.4250896,117500,2.762702226638794
1730543971.2040622,120000,2.6898796558380127
1730543992.3980284,122500,0.7184497714042664
1730543995.3203738,124928,1.070656657218933
1730544029.1991076,125000,0.8989954590797424
1730544063.4723396,127500,0.3314642310142517
1730544100.8593478,130000,1.538447380065918
1730544127.8821929,132500,0.34662169218063354
1730544166.0200717,135000,0.4606148600578308
1730544169.0484781,137216,0.5969570279121399
1730544197.467105,137500,3.8183724880218506
1730544228.9261837,140000,0.11909737437963486
1730544255.436916,142500,0.4755564332008362
1730544285.9079518,145000,0.9856191277503967
1730544289.1562583,147456,0.196965292096138
1730544329.2075188,147500,0.12380685657262802
1730544360.8180592,150000,0.5565401315689087
