Wall time,Step,Value
1730484214.5281327,4096,690.8544921875
1730484262.9036794,5000,915.1033935546875
1730484270.2593687,8192,520.5548706054688
1730484312.4975073,10000,733.1172485351562
1730484315.623576,12288,566.6846313476562
1730484318.6345685,14336,368.1945495605469
1730484341.4680572,15000,147.03103637695312
1730484345.5876126,18432,232.94956970214844
1730484374.2594533,20000,232.91358947753906
1730484384.0186265,22528,100.63391876220703
1730484392.663993,24576,86.3702621459961
1730484445.921729,25000,109.83998107910156
1730484457.9557655,28672,68.7510757446289
1730484496.3848646,30000,51.38077163696289
1730484499.704229,32768,100.21669006347656
1730484502.5854168,34816,47.50457000732422
1730484543.555862,35000,75.35888671875
1730484555.675086,38912,11.401203155517578
1730484653.6498675,40000,27.789884567260742
1730484664.681103,43008,24.81548500061035
1730484728.3498838,45000,19.311986923217773
1730484736.9937541,47104,41.562686920166016
1730484745.5024576,49152,14.154322624206543
1730484793.132537,50000,11.043220520019531
1730484796.745457,53248,12.430686950683594
1730484830.8588662,55000,44.22047805786133
1730484834.610282,57344,13.146510124206543
1730484837.317267,59392,13.272658348083496
1730484903.9039302,60000,16.69776725769043
1730484907.6817944,63488,4.596007823944092
1730484939.6599917,65000,5.971321105957031
1730484943.138936,67584,4.934198379516602
1730484946.0760655,69632,11.652414321899414
1730484985.0409868,70000,5.940036296844482
1730484998.094655,73728,12.559738159179688
1730485074.2608674,75000,4.565166473388672
1730485084.832931,77824,4.040268898010254
1730485093.4255044,79872,2.6478562355041504
1730485136.6744597,80000,4.818973541259766
1730485141.444307,83968,3.873936891555786
1730485214.409253,85000,0.8262658715248108
1730485225.0821373,88064,1.933705449104309
1730485306.9970617,90000,4.469700336456299
1730485311.250143,92160,2.3185336589813232
1730485317.2264047,94208,2.4548158645629883
1730485392.171495,95000,3.2153079509735107
1730485402.8340418,98304,1.3288851976394653
1730485438.5089498,100000,1.7159591913223267
